48;language;c
34942;language;c
77;language;c
30055;language;c
31807;language;c
31800;language;c
30039;language;c
30045;language;c
31804;language;c
24;language;c
100;language;c
31580;translation-mode;implementation
31580;language;c
70;language;c
42;language;c
31;language;c
87;language;c
30051;language;c
96;language;c
33;language;c
37;language;c
73;language;c
30043;language;c
30053;language;c
34941;language;c
98;language;c
57;language;c
78;language;c
41;language;c
45;language;c
64;language;c
65;language;c
34932;translation-mode;implementation
34932;language;c
76;language;c
89;language;c
31802;language;c
35;language;c
91;language;c
30052;language;c
75;language;c
31806;language;c
66;language;c
25;language;c
67;language;c
31798;language;c
30054;language;c
13;language;c
63;language;c
80;language;c
69;language;c
79;language;c
31803;language;c
34924;translation-mode;implementation
34924;language;c
18;language;c
31578;language;c
104;translation-mode;implementation
104;language;c
34;language;c
36;language;c
40;language;c
49;language;c
85;language;c
56;language;c
35018;translation-mode;implementation
35018;language;c
22;language;c
17;language;c
46;language;c
30044;language;c
12;language;c
27;language;c
31520;translation-mode;implementation
31520;language;c
31808;translation-mode;implementation
31808;language;c
51;language;c
35017;language;c
82;language;c
5;language;c
58;language;c
30049;language;c
31799;language;c
31805;language;c
31796;language;c
19;language;c
30056;translation-mode;implementation
30056;language;c
39;language;c
71;language;c
34935;translation-mode;implementation
34935;language;c
31546;translation-mode;implementation
31546;language;c
30041;language;c
31313;translation-mode;implementation
31313;language;c
28;language;c
30037;language;c
62;language;c
97;language;c
38;language;c
30047;language;c
31305;translation-mode;implementation
31305;language;c
31801;language;c
72;language;c
68;language;c
55;language;c
43;language;c
31579;language;c
84;language;c
53;language;c
23;language;c
74;language;c
29;language;c
59;language;c
31577;language;c
20;language;c
101;language;c
34943;translation-mode;implementation
34943;language;c
21;language;c
90;language;c
30048;language;c
30046;language;c
26;language;c
32;language;c
83;language;c
92;language;c
30050;language;c
30;language;c
30038;language;c
61;language;c
93;language;c
86;language;c
94;language;c
95;language;c
47;language;c
44;language;c
60;language;c
81;language;c
88;language;c
99;language;c
31797;language;c
54;language;c
50;language;c
52;language;c
30040;language;c
16350;_signature;BOOL CryptVerifyCertificateSignature(HCRYPTPROV_LEGACY, DWORD, const BYTE*, DWORD, PCERT_PUBLIC_KEY_INFO)
12879;_signature;RPC_STATUS RpcServerUseProtseqA(RPC_CSTR, unsigned int, void*)
9905;_signature;HMONITOR MonitorFromWindow(HWND, DWORD)
12948;typetag;struct
16482;_signature;BOOL CryptDecodeMessage(DWORD, PCRYPT_DECRYPT_MESSAGE_PARA, PCRYPT_VERIFY_MESSAGE_PARA, DWORD, const BYTE*, DWORD, DWORD, DWORD*, DWORD*, BYTE*, DWORD*, PCCERT_CONTEXT*, PCCERT_CONTEXT*)
14768;_signature;NTSTATUS BCryptGetFipsAlgorithmMode(BOOLEAN*)
5817;typetag;struct
3130;typetag;enum
23429;_signature;HRESULT AsyncIAdviseSink_Finish_OnRename_Stub(AsyncIAdviseSink*)
3327;typetag;struct
12160;typetag;struct
30960;_signature;int _vcprintf_l(const char*, _locale_t, va_list)
5703;typetag;struct
15709;typetag;struct
5451;_signature;BOOL LookupAccountNameLocalA(LPCSTR, PSID, LPDWORD, LPSTR, LPDWORD, PSID_NAME_USE)
30706;_signature;INT WSALookupServiceEnd(HANDLE)
14720;typetag;struct
9900;_signature;void SetLastErrorEx(DWORD, DWORD)
27166;typetag;struct
7319;_signature;BOOL PatBlt(HDC, int, int, int, int, DWORD)
15197;typetag;struct
30957;_signature;int _vcprintf_p(const char*, va_list)
10501;typetag;struct
7101;_signature;HDC CreateMetaFileW(LPCWSTR)
14655;_signature;NTSTATUS BCryptDestroyKey(BCRYPT_KEY_HANDLE)
18971;typetag;struct
5621;_signature;BOOL AssignProcessToJobObject(HANDLE, HANDLE)
29899;_signature;FILE* _wfsopen(const wchar_t*, const wchar_t*, int)
23431;_signature;HRESULT AsyncIAdviseSink_Begin_OnSave_Stub(AsyncIAdviseSink*)
9140;_signature;HMENU LoadMenuW(HINSTANCE, LPCWSTR)
655;_signature;int _wcsicoll_l(const wchar_t*, const wchar_t*, _locale_t)
9612;_signature;LRESULT DefFrameProcW(HWND, HWND, UINT, WPARAM, LPARAM)
10970;typetag;struct
11487;_signature;MMRESULT waveOutSetPitch(HWAVEOUT, DWORD)
15465;typetag;struct
21937;_signature;HRESULT IBindCtx_RemoteGetBindOptions_Proxy(IBindCtx*, BIND_OPTS2*)
28389;_signature;HRESULT VarR4FromUI8(ULONG64, FLOAT*)
13555;_signature;RPC_STATUS RpcErrorGetNextRecord(RPC_ERROR_ENUM_HANDLE*, BOOL, RPC_EXTENDED_ERROR_INFO*)
29721;_signature;LRESULT ImmEscapeA(HKL, HIMC, UINT, LPVOID)
19638;_signature;LONG SCardListReaderGroupsW(SCARDCONTEXT, LPWSTR, LPDWORD)
7584;_signature;BOOL ColorCorrectPalette(HDC, HPALETTE, DWORD, DWORD)
10461;_signature;BOOL GetNLSVersionEx(NLS_FUNCTION, LPCWSTR, LPNLSVERSIONINFOEX)
5187;_signature;BOOL SetFileAttributesTransactedA(LPCSTR, DWORD, HANDLE)
28813;typetag;struct
13005;typetag;struct
13012;typetag;union
28460;_signature;HRESULT VarBoolFromDisp(IDispatch*, LCID, VARIANT_BOOL*)
14508;_signature;BOOL CryptSetProviderA(LPCSTR, DWORD)
19708;_signature;LONG SCardDisconnect(SCARDHANDLE, DWORD)
22114;typetag;enum
7198;_signature;BOOL GetTextExtentExPointA(HDC, LPCSTR, int, int, LPINT, LPINT, LPSIZE)
18596;typetag;enum
31514;_signature;void usr_notify_of_key_updated_needed(IEC905_MSG_CNTRL*)
31291;_signature;void usr_notify_of_key_updated_needed(IEC905_MSG_CNTRL*)
35015;_signature;void usr_notify_of_key_updated_needed(IEC905_MSG_CNTRL*)
28285;_signature;HRESULT SafeArrayDestroy(SAFEARRAY*)
5206;_signature;BOOL CheckNameLegalDOS8Dot3W(LPCWSTR, LPSTR, DWORD, PBOOL, PBOOL)
7080;_signature;HBITMAP CreateBitmap(int, int, UINT, UINT, const void*)
29881;_signature;int _vfprintf_p_l(FILE*, const char*, _locale_t, va_list)
30082;typetag;struct
33156;typetag;struct
22833;typetag;enum
1387;typetag;struct
21356;typetag;struct
15816;_signature;BOOL CryptMsgClose(HCRYPTMSG)
25327;_signature;HRESULT ITypeInfo_GetDocumentation_Stub(ITypeInfo*, MEMBERID, DWORD, BSTR*, BSTR*, DWORD*, BSTR*)
29963;_signature;int _vsnwprintf_s_l(wchar_t*, size_t, size_t, const wchar_t*, _locale_t, va_list)
27201;typetag;struct
9048;_signature;void mouse_event(DWORD, DWORD, DWORD, DWORD, ULONG_PTR)
16908;typetag;struct
3644;typetag;struct
8902;_signature;BOOL ShowOwnedPopups(HWND, BOOL)
21060;_signature;DWORD EnumPrinterDataA(HANDLE, DWORD, LPSTR, DWORD, LPDWORD, LPDWORD, LPBYTE, DWORD, LPDWORD)
22254;_signature;void ILockBytes_RemoteWriteAt_Stub(IRpcStubBuffer*, IRpcChannelBuffer*, PRPC_MESSAGE, DWORD*)
26736;typetag;enum
31960;typetag;enum
3604;typetag;enum
5615;_signature;BOOL MapUserPhysicalPages(PVOID, ULONG_PTR, PULONG_PTR)
